,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
164,20150221,842297,"(0.8860623780525251, 3)","(1.218186065870696, 5)","(0.8047637871530796, 50)","(0.8363607214074348, 45)","(0.9057053200916293, 327)","(-1.338790006607219, 1)","(0.7888807525971503, 3)","(0.8824339485706193, 11)","(1.0363439576375033, 27)","(1.0138109535289042, 249)"
165,20150221,601143,"(0.6421985932767463, 4)","(0.7902283408298401, 34)","(0.7490745059279922, 273)","(0.8039397254121466, 66)","(0.6926506329735205, 59)","(2.231043087178914, 1)",0,"(0.716604141021744, 1)","(0.7674117293630432, 6)","(0.9685783546806599, 3)"
166,20150221,842296,0,"(0.8097742534304894, 1)","(0.7579328695841641, 16)","(0.9038002852856887, 30)","(0.8922127966741912, 243)","(2.8973451378724753, 4)","(1.2154386674934632, 2)","(0.6424853434741339, 3)","(1.000084185060141, 6)","(1.113590763964637, 47)"
167,20150221,786843,0,"(0.8532370141787753, 1)","(0.6930814391838311, 7)","(1.1157348473566555, 3)","(1.1142384457340924, 31)",0,0,0,0,0
168,20150221,842313,0,0,0,"(0.9527729030389807, 2)","(0.8502871849266784, 15)",0,0,0,0,0
169,20150228,842301,"(0.871542924413874, 8)","(0.737388440355791, 23)","(0.7150367794137203, 623)","(0.6041653911006203, 36)","(0.7285279430336606, 25)","(0.6725874376312171, 2)","(1.1949329551607693, 5)","(0.861268823446257, 44)","(0.9516524439783981, 4)","(1.0720858000050604, 1)"
170,20150228,756883,"(0.3565528918671157, 2)","(0.48194699673959845, 5)","(0.7216588885680536, 49)","(0.9463288316119173, 63)","(0.8943073772596131, 486)","(0.3303753115079931, 3)","(2.1100339166247775, 2)","(1.0916975090654328, 10)","(0.8942597771831141, 11)","(0.9234676963300421, 100)"
171,20150228,842298,"(1.0, 4)","(0.670397708602991, 11)","(0.7382418509748301, 228)","(1.0232351796676955, 138)","(0.8832808685389918, 450)","(-1.1912674618026244, 1)","(1.1938255415145183, 4)","(0.9630099613499706, 25)","(1.2320714940703983, 16)","(0.9349748514174673, 90)"
172,20150228,842297,0,"(0.2667558013020003, 2)","(0.6273084840047732, 26)","(0.7916420946990037, 28)","(0.8404997080042523, 467)","(1.0550092583768838, 1)","(0.9730120766932219, 1)","(0.8473971018391314, 10)","(1.0385464943942857, 8)","(0.8651621493135879, 344)"
173,20150228,601140,"(0.6079172833005673, 4)","(0.5862780036198902, 8)","(0.9737157836170527, 38)","(1.1316990473032515, 52)","(0.8835537556558339, 487)",0,"(0.648963407461399, 1)","(0.9948191754192242, 11)","(1.109683063641161, 13)","(0.9013345019783697, 185)"
174,20150228,696290,"(0.7848139106325925, 3)","(0.6535178408300973, 15)","(0.6067654019872611, 163)","(0.8413435793740446, 94)","(0.812238960019776, 60)","(3.156035664790007, 2)","(1.1221570251043431, 1)","(0.7532982744269131, 5)","(0.8819474359971796, 7)","(1.1571421944758677, 9)"
175,20150228,601143,0,"(0.6368959346765419, 8)","(0.5631395563442879, 116)","(0.5169922359683526, 6)","(0.6486646444449052, 9)","(-0.23084139164038592, 2)",0,"(1.0184206632487895, 1)","(1.3301717474813552, 1)",0
176,20150228,842296,0,0,"(0.49398221111813817, 4)","(0.9486462116193789, 4)","(0.9486515145866937, 142)",0,0,0,"(1.108099519472429, 1)","(1.0050407538827164, 25)"
177,20150304,756883,"(0.714262852030996, 1)","(1.2836715563611445, 3)","(0.7822652110269125, 32)","(0.8839538088373481, 57)","(0.8156561906630551, 347)","(0.9651126959257633, 2)","(0.8874008605058229, 1)","(1.1579974884346504, 5)","(0.9160662014751875, 7)","(0.9102616729425141, 93)"
178,20150304,842301,"(0.06317818596868435, 2)","(0.8328027283969791, 14)","(0.8916147447260692, 251)","(0.8857361743605058, 37)","(0.8142007789098074, 30)","(0.6437127052261817, 2)","(1.5624566435611575, 2)","(0.8247180244418071, 23)","(0.8659474475719253, 4)","(0.6678579225611951, 2)"
179,20150304,842298,"(1.0, 2)","(0.9518026965361006, 8)","(0.8883368267327659, 63)","(1.0094819853207906, 83)","(1.0602527717456618, 208)","(2.209628856825698, 2)","(0.94238589872634, 8)","(0.7859733013194359, 8)","(0.9127018274519927, 14)","(0.9700392871888258, 39)"
180,20150304,601140,"(0.6103090665146846, 2)","(0.9798744763501294, 4)","(0.7673124085991291, 13)","(1.0175076773024991, 38)","(0.9164112610365476, 407)","(0.5600664727289122, 1)","(0.7616333235094797, 1)","(0.90983502172227, 7)","(0.8556827691056886, 13)","(1.0945200572063778, 152)"
181,20150304,842297,"(0.5276362343708777, 1)",0,"(0.8114345050835436, 15)","(0.9205840311208232, 24)","(1.0608692443691583, 316)","(0.9840715277229266, 1)","(1.1813442701868664, 2)","(1.1185011712868296, 3)","(0.920687099633154, 5)","(1.1581188027075142, 256)"
182,20150304,601143,"(0.7604897866185647, 4)","(0.6050760104615104, 12)","(0.7785416887025038, 269)","(0.7542053510141815, 37)","(0.9197546002327358, 27)",0,"(0.6859378085533615, 1)","(0.8129072615880634, 3)","(0.9167586976019115, 2)",0
183,20150304,842296,"(1.0, 1)","(1.0, 1)","(0.8364716793776933, 16)","(1.0555714538691874, 37)","(1.003488009189551, 328)","(0.06459742460808077, 1)",0,"(0.8826038312669038, 3)","(1.0121449842800245, 8)","(1.0601890376487706, 68)"
184,20150304,696290,"(0.7326843515844018, 7)","(0.7647712033546223, 13)","(0.7546705594113535, 220)","(0.8622703403345459, 100)","(0.8134073301569547, 57)","(-0.5320900010401017, 2)","(0.6698357724249511, 1)","(0.7754463047476089, 9)","(0.7277971917546485, 11)","(0.8408350464923401, 8)"
185,20150304,842313,0,0,"(1.7341320090517214, 1)","(1.1286015948064085, 6)","(1.1199769713936616, 17)",0,0,0,0,0
