game_number,game_id,name,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts
37,20150329,Quinn Cook,Gonzaga,W,1,40,2,10,0.2,1,5,0.2,1,5,0.2,5,6,0.8333333333333334,0.4,0.6,1,0,5,5,1,1,0,0,1,10
38,20150404,Quinn Cook,Michigan State,W,1,35,6,12,0.5,5,9,0.5555555555555556,1,3,0.3333333333333333,4,4,1,1.1111111111111112,1,1.4166666666666667,0,2,2,2,1,0,0,3,17
39,20150406,Quinn Cook,Wisconsin,W,1,35,3,8,0.375,3,5,0.6,0,3,0,0,0,NaN,1.2,0,0.75,1,3,4,2,0,0,0,0,6
1,20141114,Justise Winslow,Presbyterian,W,1,20,6,12,0.5,4,9,0.4444444444444444,2,3,0.6666666666666666,1,1,1,0.8888888888888888,2,1.25,2,2,4,1,1,1,3,2,15
2,20141115,Justise Winslow,Fairfield,W,1,21,6,10,0.6,5,8,0.625,1,2,0.5,5,7,0.7142857142857143,1.25,1.5,1.8,2,4,6,2,1,1,1,1,18
3,20141118,Justise Winslow,Michigan State,W,1,36,4,11,0.36363636363636365,3,9,0.3333333333333333,1,2,0.5,6,9,0.6666666666666666,0.6666666666666666,1.5,1.3636363636363635,1,5,6,3,0,1,2,3,15
4,20141121,Justise Winslow,Temple,W,1,28,4,8,0.5,3,4,0.75,1,4,0.25,6,9,0.6666666666666666,1.5,0.75,1.875,0,4,4,1,1,0,1,3,15
5,20141122,Justise Winslow,Stanford,W,1,35,4,10,0.4,2,3,0.6666666666666666,2,7,0.2857142857142857,4,10,0.4,1.3333333333333333,0.8571428571428571,1.4,4,5,9,4,1,1,1,2,14
6,20141126,Justise Winslow,Furman,W,1,23,2,7,0.2857142857142857,1,4,0.25,1,3,0.3333333333333333,2,4,0.5,0.5,1,1,0,2,2,2,2,0,1,1,7
7,20141130,Justise Winslow,Army,W,1,12,3,4,0.75,2,2,1,1,2,0.5,0,0,NaN,2,1.5,1.75,0,1,1,1,1,0,2,3,7
8,20141203,Justise Winslow,Wisconsin,W,1,32,2,6,0.3333333333333333,1,3,0.3333333333333333,1,3,0.3333333333333333,0,0,NaN,0.6666666666666666,1,0.8333333333333334,1,4,5,3,1,0,4,3,5
9,20141215,Justise Winslow,Elon,W,1,27,5,10,0.5,4,6,0.6666666666666666,1,4,0.25,1,4,0.25,1.3333333333333333,0.75,1.2,0,3,3,0,2,0,2,4,12
10,20141218,Justise Winslow,UConn,W,1,28,4,10,0.4,3,7,0.42857142857142855,1,3,0.3333333333333333,3,4,0.75,0.8571428571428571,1,1.2,2,3,5,2,1,1,2,3,12
11,20141229,Justise Winslow,Toledo,W,1,29,4,9,0.4444444444444444,3,7,0.42857142857142855,1,2,0.5,0,1,0,0.8571428571428571,1.5,1,1,4,5,4,1,1,1,3,9
12,20141231,Justise Winslow,Wofford,W,1,31,5,11,0.45454545454545453,3,7,0.42857142857142855,2,4,0.5,4,4,1,0.8571428571428571,1.5,1.4545454545454546,2,5,7,2,1,0,1,0,16
13,20150103,Justise Winslow,Boston College,W,1,26,5,7,0.7142857142857143,4,5,0.8,1,2,0.5,2,3,0.6666666666666666,1.6,1.5,1.8571428571428572,1,6,7,4,0,2,1,3,13
14,20150107,Justise Winslow,Wake Forest,W,1,36,7,16,0.4375,4,9,0.4444444444444444,3,7,0.42857142857142855,3,3,1,0.8888888888888888,1.2857142857142858,1.25,1,6,7,3,0,2,1,1,20
15,20150111,Justise Winslow,NC State,L,1,30,3,13,0.23076923076923078,2,7,0.2857142857142857,1,6,0.16666666666666666,3,5,0.6,0.5714285714285714,0.5,0.7692307692307693,1,3,4,1,1,0,0,5,10
16,20150113,Justise Winslow,Miami (FL),L,1,27,1,6,0.16666666666666666,1,4,0.25,0,2,0,0,4,0,0.5,0,0.3333333333333333,0,2,2,1,0,1,2,2,2
17,20150117,Justise Winslow,Louisville,W,1,38,1,3,0.3333333333333333,1,1,1,0,2,0,1,4,0.25,2,0,1,1,6,7,1,1,0,3,3,3
18,20150119,Justise Winslow,Pitt,W,1,22,2,7,0.2857142857142857,0,3,0,2,4,0.5,1,2,0.5,0,1.5,1,0,2,2,1,1,1,1,2,7
19,20150125,Justise Winslow,St. John's (NY),W,1,10,0,1,0,0,0,NaN,0,1,0,0,0,NaN,NaN,0,0,0,1,1,0,0,0,1,1,0
20,20150128,Justise Winslow,Notre Dame,L,1,30,4,7,0.5714285714285714,1,3,0.3333333333333333,3,4,0.75,2,2,1,0.6666666666666666,2.25,1.8571428571428572,0,2,2,0,1,0,2,4,13
21,20150131,Justise Winslow,Virginia,W,1,31,7,16,0.4375,7,12,0.5833333333333334,0,4,0,1,2,0.5,1.1666666666666667,0,0.9375,1,10,11,2,1,1,0,4,15
22,20150204,Justise Winslow,Georgia Tech,W,1,36,5,6,0.8333333333333334,4,5,0.8,1,1,1,4,7,0.5714285714285714,1.6,3,2.5,3,7,10,3,2,2,1,3,15
23,20150207,Justise Winslow,Notre Dame,W,1,31,6,11,0.5454545454545454,5,9,0.5555555555555556,1,2,0.5,6,8,0.75,1.1111111111111112,1.5,1.7272727272727273,4,7,11,4,0,2,3,2,19
24,20150209,Justise Winslow,Florida State,W,1,32,1,6,0.16666666666666666,0,3,0,1,3,0.3333333333333333,7,10,0.7,0,1,1.6666666666666667,1,4,5,1,2,1,4,5,10
25,20150214,Justise Winslow,Syracuse,W,1,29,4,10,0.4,3,8,0.375,1,2,0.5,3,3,1,0.75,1.5,1.2,1,6,7,3,0,1,2,5,12
26,20150218,Justise Winslow,UNC,W,1,29,6,10,0.6,5,9,0.5555555555555556,1,1,1,3,6,0.5,1.1111111111111112,3,1.6,1,6,7,2,1,0,1,4,16
27,20150221,Justise Winslow,Clemson,W,1,37,8,14,0.5714285714285714,7,13,0.5384615384615384,1,1,1,3,4,0.75,1.0769230769230769,3,1.4285714285714286,1,12,13,1,4,0,3,2,20
28,20150225,Justise Winslow,Virginia Tech,W,1,39,7,12,0.5833333333333334,6,9,0.6666666666666666,1,3,0.3333333333333333,0,1,0,1.3333333333333333,1,1.25,1,6,7,1,2,1,2,5,15
29,20150228,Justise Winslow,Syracuse,W,1,40,10,16,0.625,7,11,0.6363636363636364,3,5,0.6,0,1,0,1.2727272727272727,1.8,1.4375,3,6,9,1,2,3,2,2,23
30,20150304,Justise Winslow,Wake Forest,W,1,25,6,8,0.75,5,7,0.7142857142857143,1,1,1,0,0,NaN,1.4285714285714286,3,1.625,2,4,6,7,6,0,3,1,13
31,20150307,Justise Winslow,UNC,W,1,22,5,9,0.5555555555555556,4,6,0.6666666666666666,1,3,0.3333333333333333,2,4,0.5,1.3333333333333333,1,1.4444444444444444,3,1,4,1,2,0,3,5,13
32,20150312,Justise Winslow,NC State,W,1,25,3,7,0.42857142857142855,2,4,0.5,1,3,0.3333333333333333,4,4,1,1,1,1.5714285714285714,0,6,6,1,3,0,1,2,11
33,20150313,Justise Winslow,Notre Dame,L,1,30,5,8,0.625,5,8,0.625,0,0,NaN,1,1,1,1.25,NaN,1.375,3,8,11,3,1,1,3,3,11
34,20150320,Justise Winslow,Robert Morris,W,1,24,2,4,0.5,1,2,0.5,1,2,0.5,1,2,0.5,1,1.5,1.5,0,11,11,7,0,1,2,2,6
35,20150322,Justise Winslow,San Diego State,W,1,34,6,10,0.6,5,8,0.625,1,2,0.5,0,0,NaN,1.25,1.5,1.3,1,11,12,5,4,3,2,2,13
36,20150327,Justise Winslow,Utah,W,1,37,8,13,0.6153846153846154,5,9,0.5555555555555556,3,4,0.75,2,3,0.6666666666666666,1.1111111111111112,2.25,1.6153846153846154,3,7,10,0,1,2,2,2,21
37,20150329,Justise Winslow,Gonzaga,W,1,32,4,12,0.3333333333333333,2,8,0.25,2,4,0.5,6,6,1,0.5,1.5,1.3333333333333333,1,4,5,1,1,1,1,3,16
38,20150404,Justise Winslow,Michigan State,W,1,29,5,7,0.7142857142857143,5,7,0.7142857142857143,0,0,NaN,9,11,0.8181818181818182,1.4285714285714286,NaN,2.7142857142857144,1,8,9,2,2,0,2,3,19
39,20150406,Justise Winslow,Wisconsin,W,1,32,3,9,0.3333333333333333,2,7,0.2857142857142857,1,2,0.5,4,7,0.5714285714285714,0.5714285714285714,1.5,1.2222222222222223,0,9,9,1,1,3,2,4,11
1,20141114,Tyus Jones,Presbyterian,W,1,23,6,8,0.75,3,4,0.75,3,4,0.75,0,0,NaN,1.5,2.25,1.875,0,2,2,7,0,0,1,0,15
2,20141115,Tyus Jones,Fairfield,W,1,23,2,5,0.4,2,2,1,0,3,0,2,3,0.6666666666666666,2,0,1.2,1,2,3,5,2,0,2,0,6
3,20141118,Tyus Jones,Michigan State,W,1,31,4,5,0.8,2,2,1,2,3,0.6666666666666666,7,7,1,2,2,3.4,0,0,0,4,2,0,0,0,17
4,20141121,Tyus Jones,Temple,W,1,29,1,7,0.14285714285714285,0,3,0,1,4,0.25,2,2,1,0,0.75,0.7142857142857143,1,4,5,7,3,0,1,1,5
5,20141122,Tyus Jones,Stanford,W,1,26,0,6,0,0,3,0,0,3,0,3,4,0.75,0,0,0.5,0,3,3,2,3,0,1,2,3
6,20141126,Tyus Jones,Furman,W,1,23,0,2,0,0,1,0,0,1,0,0,0,NaN,0,0,0,0,2,2,7,1,0,2,0,0
7,20141130,Tyus Jones,Army,W,1,34,4,8,0.5,3,4,0.75,1,4,0.25,7,8,0.875,1.5,0.75,2,1,4,5,10,1,0,0,1,16
8,20141203,Tyus Jones,Wisconsin,W,1,37,7,11,0.6363636363636364,5,8,0.625,2,3,0.6666666666666666,6,8,0.75,1.25,2,2,0,6,6,4,0,0,1,2,22
9,20141215,Tyus Jones,Elon,W,1,23,0,1,0,0,1,0,0,0,NaN,4,6,0.6666666666666666,0,NaN,4,1,0,1,4,2,0,4,3,4
10,20141218,Tyus Jones,UConn,W,1,38,5,11,0.45454545454545453,3,5,0.6,2,6,0.3333333333333333,9,10,0.9,1.2,1,1.9090909090909092,2,4,6,3,2,0,3,1,21
11,20141229,Tyus Jones,Toledo,W,1,34,2,3,0.6666666666666666,0,0,NaN,2,3,0.6666666666666666,9,9,1,NaN,2,5,1,3,4,8,2,0,1,0,15
12,20141231,Tyus Jones,Wofford,W,1,32,2,4,0.5,1,2,0.5,1,2,0.5,0,0,NaN,1,1.5,1.25,0,6,6,5,4,0,2,3,5
13,20150103,Tyus Jones,Boston College,W,1,27,0,5,0,0,4,0,0,1,0,3,4,0.75,0,0,0.6,0,4,4,3,0,0,2,0,3
14,20150107,Tyus Jones,Wake Forest,W,1,26,3,7,0.42857142857142855,2,6,0.3333333333333333,1,1,1,1,1,1,0.6666666666666666,3,1.1428571428571428,2,1,3,4,1,1,1,0,8
15,20150111,Tyus Jones,NC State,L,1,27,1,6,0.16666666666666666,1,3,0.3333333333333333,0,3,0,2,2,1,0.6666666666666666,0,0.6666666666666666,1,1,2,4,1,0,2,1,4
16,20150113,Tyus Jones,Miami (FL),L,1,27,2,9,0.2222222222222222,2,6,0.3333333333333333,0,3,0,2,2,1,0.6666666666666666,0,0.6666666666666666,1,1,2,2,0,0,2,3,6
17,20150117,Tyus Jones,Louisville,W,1,32,2,5,0.4,2,3,0.6666666666666666,0,2,0,6,6,1,1.3333333333333333,0,2,0,1,1,8,1,0,2,1,10
