time,time_diff,team,play,home_score,away_score,fgm,fga,three_fgm,three_fga,ftm,fta,PPS,asts,o_reb,d_reb,stl,blk,to,foul,game_number
52,0,Opponent,Reid Travis Turnover.,57,41,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
52,0,Duke,Duke  Timeout,57,41,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
42,10,Duke,Marques Bolden made Dunk. Assisted by RJ Barrett.,59,41,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
20,22,Duke,Foul on Marques Bolden.,59,41,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
20,0,Opponent,Quade Green made Free Throw.,59,42,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
20,0,Opponent,Quade Green missed Free Throw.,59,42,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
20,0,Duke,Jack White Defensive Rebound.,59,42,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
2,18,Duke,RJ Barrett missed Three Point Jumper.,59,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,Opponent,Kentucky Defensive Rebound.,59,42,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
1,1,Opponent,Keldon Johnson missed Three Point Jumper.,59,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,Opponent,Kentucky Offensive Rebound.,59,42,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
0,1,Official,End of 1st half,59,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1200,0,Duke,Jump Ball won by Duke,59,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1189,11,Duke,Zion Williamson made Layup. Assisted by Cam Reddish.,61,42,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
1165,24,Opponent,Ashton Hagans missed Jumper.,61,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1165,0,Duke,Cam Reddish Defensive Rebound.,61,42,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
1153,12,Duke,Cam Reddish made Three Point Jumper. Assisted by Tre Jones.,64,42,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1
1146,7,Opponent,Kentucky  Timeout,64,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1130,16,Opponent,PJ Washington missed Jumper.,64,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1130,0,Duke,Marques Bolden Block.,64,42,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,1
1130,0,Opponent,PJ Washington Offensive Rebound.,64,42,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
1127,3,Opponent,Jump Ball won by Kentucky,64,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1119,8,Duke,Foul on Marques Bolden.,64,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
1119,0,Opponent,Reid Travis missed Free Throw.,64,42,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
1119,0,Opponent,Kentucky Deadball Team Rebound.,64,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1119,0,Opponent,Reid Travis missed Free Throw.,64,42,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
1119,0,Duke,RJ Barrett Defensive Rebound.,64,42,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
1115,4,Duke,Cam Reddish missed Three Point Jumper.,64,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1115,0,Opponent,EJ Montgomery Defensive Rebound.,64,42,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
1108,7,Opponent,EJ Montgomery Turnover.,64,42,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
1108,0,Duke,Cam Reddish Steal.,64,42,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
1106,2,Duke,Cam Reddish made Dunk.,66,42,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
1083,23,Duke,Foul on Cam Reddish.,66,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
1083,0,Opponent,Keldon Johnson missed Free Throw.,66,42,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
1083,0,Opponent,Kentucky Deadball Team Rebound.,66,42,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
1083,0,Opponent,Keldon Johnson made Free Throw.,66,43,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1069,14,Duke,RJ Barrett Turnover.,66,43,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
1069,0,Opponent,Keldon Johnson Steal.,66,43,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,1
