game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_three,frames_three,offball_zone_four,frames_four,offball_zone_five,frames_five,ball_three,frames_three_ball,ball_four,frames_four_ball,ball_five,frames_five_ball,name,position
16,20150113,Miami (FL),L,1,38,7,13,0.5384615384615384,3,6,0.5,4,7,0.5714285714285714,0,0,NaN,1,1.7142857142857142,1.3846153846153846,0,6,6,4,0,0,2,3,18,0.7342733086005909,20,0.9113892875643559,36,0.8064039966504654,431,0.8330196485944733,6,0.9892035803903974,21,1.0430474961315568,138,Quinn Cook,G
18,20150119,Pitt,W,1,38,3,10,0.3,2,2,1,1,8,0.125,4,4,1,2,0.375,1.1,1,9,10,2,1,0,1,0,11,1.0642454018470697,39,1.09530710944998,56,1.0138549089534425,422,0.8933257439223989,7,0.9187859256225085,6,1.1138078690853055,152,Quinn Cook,G
22,20150204,Georgia Tech,W,1,37,6,14,0.42857142857142855,5,6,0.8333333333333334,1,8,0.125,4,5,0.8,1.6666666666666667,0.375,1.2142857142857142,0,3,3,4,1,0,0,1,17,0.8509384580860537,33,0.9033563767733073,42,0.93754584794841,380,1.0837692285159857,3,1.5371845221251574,17,1.095045378137424,147,Quinn Cook,G
23,20150207,Notre Dame,W,1,36,3,8,0.375,1,5,0.2,2,3,0.6666666666666666,0,0,NaN,0.4,2,1,0,1,1,5,1,0,0,3,8,0.7550642036900124,29,0.9554800748090444,47,0.9704726761961058,341,0.8445716444234532,14,0.9960183605820511,11,1.085653662595574,167,Quinn Cook,G
26,20150218,UNC,W,1,45,7,15,0.4666666666666667,1,6,0.16666666666666666,6,9,0.6666666666666666,2,4,0.5,0.3333333333333333,2,1.4666666666666666,1,3,4,3,0,0,3,3,22,0.8008843514684457,40,1.0901311237953861,55,1.106866401202096,446,0.8408484226505358,17,1.0330276295239225,23,1.0708896841386362,183,Quinn Cook,G
27,20150221,Clemson,W,1,39,11,18,0.6111111111111112,8,11,0.7272727272727273,3,7,0.42857142857142855,2,2,1,1.4545454545454546,1.2857142857142858,1.5,1,3,4,4,1,0,2,0,27,0.8724387531602464,26,1.0403366051800558,74,0.9403228435890953,412,1.0633614552456756,12,0.9251988753476779,17,1.0624122454500162,150,Quinn Cook,G
30,20150304,Wake Forest,W,1,32,4,12,0.3333333333333333,1,5,0.2,3,7,0.42857142857142855,2,2,1,0.4,1.2857142857142858,1.0833333333333333,0,5,5,2,0,0,2,2,13,0.7673124085991291,13,1.0175076773024991,38,0.9164112610365476,407,0.90983502172227,7,0.8556827691056886,13,1.0945200572063778,152,Quinn Cook,G
32,20150312,NC State,W,1,26,5,7,0.7142857142857143,3,5,0.6,2,2,1,3,3,1,1.2,3,2.142857142857143,0,2,2,0,1,0,0,1,15,0.8595341826697289,16,1.0381049846406787,33,1.0071634565781546,255,0.8586343699667434,8,1.0201727016104907,10,1.094468327247471,106,Quinn Cook,G
33,20150313,Notre Dame,L,1,39,2,12,0.16666666666666666,1,4,0.25,1,8,0.125,2,2,1,0.5,0.375,0.5833333333333334,0,2,2,2,1,0,2,4,7,0.8382917676036475,27,0.9641307442050961,60,0.8610555445811211,349,1.0562490311125572,7,1.0792739171290127,15,0.9694339912986277,94,Quinn Cook,G
34,20150320,Robert Morris,W,1,32,8,12,0.6666666666666666,2,2,1,6,10,0.6,0,0,NaN,2,1.8,1.8333333333333333,1,3,4,5,3,0,1,3,22,0.9417996706980112,22,0.7654190264846519,26,0.8294563164912996,396,1.4213820266464703,3,0.970848883348399,6,0.9280456418516589,141,Quinn Cook,G
35,20150322,San Diego State,W,1,38,6,13,0.46153846153846156,3,5,0.6,3,8,0.375,0,0,NaN,1.2,1.125,1.1538461538461537,1,4,5,2,0,0,1,0,15,0.8939260428047623,40,0.9572032972004516,51,0.9280315333257877,414,0.8782531578966122,9,0.867472924409088,14,1.011293081895837,151,Quinn Cook,G
