game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
3,20141118,Michigan State,W,1,36,4,11,0.36363636363636365,3,9,0.3333333333333333,1,2,0.5,6,9,0.6666666666666666,0.6666666666666666,1.5,1.3636363636363635,1,5,6,3,0,1,2,3,15,1,1.070946689,0.809042516,0.951997832,0.94161405,1.36216187,0.726570337,0.86765392,0.960692599,1.020037114,Justise Winslow,F
4,20141121,Temple,W,1,28,4,8,0.5,3,4,0.75,1,4,0.25,6,9,0.6666666666666666,1.5,0.75,1.875,0,4,4,1,1,0,1,3,15,0.495737423,0.830019896,0.846319481,0.810697787,0.82861538,2.22420403,0.905000785,0.820651,0.793881718,0.813882945,Justise Winslow,F
5,20141122,Stanford,W,1,35,4,10,0.4,2,3,0.6666666666666666,2,7,0.2857142857142857,4,10,0.4,1.3333333333333333,0.8571428571428571,1.4,4,5,9,4,1,1,1,2,14,NaN,0.65867032700000006,0.899366261,0.847015926,0.92060704,NaN,0.810429177,0.820488859,0.864658854,0.928673913,Justise Winslow,F
6,20141126,Furman,W,1,23,2,7,0.2857142857142857,1,4,0.25,1,3,0.3333333333333333,2,4,0.5,0.5,1,1,0,2,2,2,2,0,1,1,7,0.946888501,0.845772822,0.811857705,0.902453882,0.868821471,-0.396980272,1.277308238,0.578957353,0.912213382,0.964045799,Justise Winslow,F
7,20141130,Army,W,1,12,3,4,0.75,2,2,1,1,2,0.5,0,0,NaN,2,1.5,1.75,0,1,1,1,1,0,2,3,7,NaN,0.927240206,0.689391474,0.795118715,0.863045094,1.11848659,1.143140554,0.944457894,1.137832385,0.988430361,Justise Winslow,F
9,20141215,Elon,W,1,27,5,10,0.5,4,6,0.6666666666666666,1,4,0.25,1,4,0.25,1.3333333333333333,0.75,1.2,0,3,3,0,2,0,2,4,12,NaN,0.816560748,1.0445242,0.984672669,0.862825567,0.494274327,1.157707675,1.009920643,0.998075865,1.044394906,Justise Winslow,F
11,20141229,Toledo,W,1,29,4,9,0.4444444444444444,3,7,0.42857142857142855,1,2,0.5,0,1,0,0.8571428571428571,1.5,1,1,4,5,4,1,1,1,3,9,1,0.772706888,0.793841077,0.843306484,0.797009533,1.62069489,0.778764328,0.944548348,0.94253092,0.859626515,Justise Winslow,F
12,20141231,Wofford,W,1,31,5,11,0.45454545454545453,3,7,0.42857142857142855,2,4,0.5,4,4,1,0.8571428571428571,1.5,1.4545454545454546,2,5,7,2,1,0,1,0,16,1,0.893162369,0.708976273,0.839766557,0.69280948,0.742961044,0.813897489,0.933008892,0.87120805,0.832305947,Justise Winslow,F
13,20150103,Boston College,W,1,26,5,7,0.7142857142857143,4,5,0.8,1,2,0.5,2,3,0.6666666666666666,1.6,1.5,1.8571428571428572,1,6,7,4,0,2,1,3,13,0.504174754,0.939226862,1.054475584,0.899937618,0.83440144,0.802537455,0.910883708,0.8272898,0.887006052,0.856515711,Justise Winslow,F
16,20150113,Miami (FL),L,1,27,1,6,0.16666666666666666,1,4,0.25,0,2,0,0,4,0,0.5,0,0.3333333333333333,0,2,2,1,0,1,2,2,2,0.740072859,0.880570587,1.06354515,0.985587361,0.887080383,1.524773218,0.827088617,1.031915298,1.052647187,0.9818831,Justise Winslow,F
18,20150119,Pitt,W,1,22,2,7,0.2857142857142857,0,3,0,2,4,0.5,1,2,0.5,0,1.5,1,0,2,2,1,1,1,1,2,7,0.69519837,0.787177184,0.784917405,0.747339104,1.039721094,NaN,0.669161755,0.989619594,0.987276175,0.947669228,Justise Winslow,F
22,20150204,Georgia Tech,W,1,36,5,6,0.8333333333333334,4,5,0.8,1,1,1,4,7,0.5714285714285714,1.6,3,2.5,3,7,10,3,2,2,1,3,15,0.722181704,0.72847286,0.873192214,0.976330725,0.931795379,0.519920164,0.764260766,1.04990901,1.027224377,1.049012042,Justise Winslow,F
23,20150207,Notre Dame,W,1,31,6,11,0.5454545454545454,5,9,0.5555555555555556,1,2,0.5,6,8,0.75,1.1111111111111112,1.5,1.7272727272727273,4,7,11,4,0,2,3,2,19,1,0.817598877,0.796951925,0.815479041,0.923785926,1.361414477,0.926506065,0.785195306,0.886296421,0.911616795,Justise Winslow,F
26,20150218,UNC,W,1,29,6,10,0.6,5,9,0.5555555555555556,1,1,1,3,6,0.5,1.1111111111111112,3,1.6,1,6,7,2,1,0,1,4,16,0.840681295,0.811955197,0.759135388,0.914706896,0.932576441,1.909155586,0.631048961,0.787618126,0.966950092,0.93727593,Justise Winslow,F
27,20150221,Clemson,W,1,37,8,14,0.5714285714285714,7,13,0.5384615384615384,1,1,1,3,4,0.75,1.0769230769230769,3,1.4285714285714286,1,12,13,1,4,0,3,2,20,1,0.866082582,0.892479759,0.958657185,0.896132575,0.532177021,1.026782134,0.465008984,0.917984118,0.979202375,Justise Winslow,F
30,20150304,Wake Forest,W,1,25,6,8,0.75,5,7,0.7142857142857143,1,1,1,0,0,NaN,1.4285714285714286,3,1.625,2,4,6,7,6,0,3,1,13,1,0.900347494,0.889565294,1.009481985,1.060252772,1.22198835,0.738013768,0.962735128,0.912701827,0.970039287,Justise Winslow,F
32,20150312,NC State,W,1,25,3,7,0.42857142857142855,2,4,0.5,1,3,0.3333333333333333,4,4,1,1,1,1.5714285714285714,0,6,6,1,3,0,1,2,11,0.768905297,0.70156087600000006,0.792830777,0.953192621,0.907609355,1.224557668,0.649459579,0.989141577,0.95904669,0.911590872,Justise Winslow,F
33,20150313,Notre Dame,L,1,30,5,8,0.625,5,8,0.625,0,0,NaN,1,1,1,1.25,NaN,1.375,3,8,11,3,1,1,3,3,11,0.848047306,0.750535645,0.862268751,0.938734576,0.973332614,1.761284788,0.905765049,0.950787927,0.856652791,0.986438711,Justise Winslow,F
34,20150320,Robert Morris,W,1,24,2,4,0.5,1,2,0.5,1,2,0.5,1,2,0.5,1,1.5,1.5,0,11,11,7,0,1,2,2,6,0.71513968000000006,0.626095906,0.832498195,0.953374463,0.833981193,-0.25189054,0.765025397,1.465763836,1.033965352,1.003336555,Justise Winslow,F
35,20150322,San Diego State,W,1,34,6,10,0.6,5,8,0.625,1,2,0.5,0,0,NaN,1.25,1.5,1.3,1,11,12,5,4,3,2,2,13,0.778399828,0.789102564,0.831015616,0.866195252,0.865075345,0.848978907,NaN,0.921655365,0.838938927,0.811393806,Justise Winslow,F
